Year,America,Canada,China,France,India,Japan,Mexico,Sudan,Sweden,Thailand
2000-2005,2.042,1.516,1.55,1.882,3.14,1.298,2.61,5.3,1.67,1.603
2010-2015,1.877,1.61,1.6,1.982,2.438,1.409,2.29,4.75,1.902,1.535
2020-2025,1.893,1.557,1.664,1.966,2.191,1.535,2.004,4.146,1.914,1.414
2030-2035,1.903,1.598,1.706,1.956,2.019,1.619,1.815,3.654,1.92,1.474
2040-2045,1.91,1.642,1.736,1.951,1.9,1.676,1.731,3.267,1.924,1.554
2050-2055,1.914,1.683,1.758,1.947,1.829,1.714,1.714,2.971,1.927,1.62
2060-2065,1.917,1.715,1.774,1.946,1.79,1.743,1.723,2.736,1.93,1.672
